artista_musical,biografía,Link_información,url_imagen,redes_social,género_musical,información_género,audiencia_Spotify,canción_más_escuchada,reproducciones,url_video,colaboraciones_artistas
Frágil,"Andrés Dulude (voz solista), Luis Valderrama (guitarras), Octavio Castillo (Korg, steel, piano, flauta, bajo, coros), César Bustamante  (bajo, piano, teclados, mellotron) y Arturo Crearner (batería) eran Frágil. Y su primer disco con material propio, ""Avenida Larco"", fue grabado en 1980. Se nota la mano de apasionados progers que viven el momento. Y tocan, vaya que sí.  La producción no es de nivel anglosajón  (tampoco las nuestras), pero eso hoy ya no importa. ",https://www.rockliquias.com/2022/10/fragil-avenida-larco-1981-pantel.html,https://portal.andina.pe/EDPfotografia3/Thumbnail/2019/07/10/000599420W.jpg,,Rock,,129k,Avenida Larco,12.9M,https://open.spotify.com/intl-es/track/1UC6KI4TujcN8L8VZtrbec?si=caf2b6e9e47f49f7,
Leusemia,"Formados en 1983 por: Daniel F (Daniel Valdivia), y Leo Escoria (Leo Scoria), Kimba Vilis (Gustavo Valdivia), Montaña (Raúl Montañez). Actualmente está conformada por Daniel F, Montañez y el baterista Daniel López, apoyados en varios conciertos por el guitarrista Johan Atencia, quien toca en la banda solista de Daniel F.",https://www.last.fm/es/music/Leusemia/+wiki,https://e.snmc.io/i/1200/s/3425c2486598c9a70c8e711b2e08434d/12469347,,Rock,,30k,Al colegio no voy más,2.2M,https://open.spotify.com/intl-es/track/17HmjqKPaPPyiUxbDSKVWa?si=b554dcae93d24d2a,
Libido,"Formado en 1996 por: Salim Vera, en la voz y guitarra rítmica; Antonio Jauregui, en el bajo y coros, Manolo Hidalgo, en la primera guitarra e Iván Mindreau en la batería. Es el conjunto de rock peruano más destacado en la actualidad. Tienen ganado ya dos premios MTV y varios galardones más.",https://www.last.fm/es/music/Libido/+wiki,https://lastfm.freetls.fastly.net/i/u/500x500/f7a4512db0e5461088bef47eb30f66b3.jpg,,Pop|Rock,,351k,En Esta Habitación,25M,https://open.spotify.com/intl-es/track/1gAB76RAMN8sZl0PjKyqXA?si=242ec28f6f354f25,
Pedro Suaréz Vertiz,"Nació el 13 de febrero de 1969 en el Hospital Naval de la Provincia Constitucional del Callao, Perú. Pasó toda su infancia y adolescencia en el distrito de San Isidro viviendo frente al Olivar, parque considerado por él como su lugar favorito en el mundo. Es nieto del pintor retratista tarapaqueño Germán Suárez Vértiz e hijo del artista plástico miraflorino Hernando Suárez-Vértiz. En secundaria sus poemas y escritos empezaron a ser musicalizados al formar una primera banda de rock con su hermano y amigos llamada Paranoia. Posteriormente, formó el grupo Arena Hash, en el cual tocaba la guitarra, componía y cantaba todas las canciones.",https://www.last.fm/es/music/Pedro+Su%C3%A1rez-V%C3%A9rtiz/+wiki,https://liderweb.mx/wp-content/uploads/2023/12/Pedro-Suarez-Vertiz.jpg,,Pop|Rock,,760k,"Un Vino, Una Cerveza",50M,https://open.spotify.com/intl-es/track/5Q2J37xbIR60z6ifswoGKe?si=405ccede4c344c1a,
Nosequién y los Nosecuántos,"Raúl Romero (voz), Héctor Llosa (guitarra), Fernando Ríos (bajo), Pablo Boner (teclado) y Pedro Silva (batería) son NOSEQUIEN Y LOS NOSECUANTOS del Perú y nadie mejor que ellos para plasmar en sus letras imágenes urbanas que calcan a la perfección la idiosincrasia de una sociedad peruana, salpicada de mitos, tabúes y prejuicios, todo esto a través de una aguda sátira que los ha convertido -definitivamente- en comunicadores de un sentir popular.",https://www.last.fm/es/music/NSQ+Y+NSC/+wiki,https://portal.andina.pe/EDPfotografia2/Thumbnail/2008/12/11/000081473W.jpg,,Rock|Humor/Viral,,263k,Las Torres,23M,https://open.spotify.com/intl-es/track/0sN4ERM2Q2UBKyePqfcgv9?si=a38838343d8a4121,
Rio,"La mítica banda de rock peruano, integrada por Pocho Prieto (voz y guitarra), Cucho Galarza (bajo), Chachi Galarza (guitarra), Wilder López (batería), André Burgos (guitarra) y Juan Fernández (teclados), celebra 38 años de trayectoria. Su repertorio incluirá las canciones que años atrás causaron furor como ""Televidente"", ""Carol quiere un viaje a Londres"", ""Lo peor de todo"", ""La Universidad"" y ""Todo estaba bien"". El nombre está inspirado en las siglas de la Royal Institution Orchestra, referente musical del grupo.",https://granteatronacional.pe/evento/grupo-rio-38-anos-de-rock-peruano,https://elcomercio.pe/resizer/v2/JZYFMQWGRNFVXGCYVIMYUJWQPE.jpg?auth=3eb57ade2f9f5bb76090fd78f32455b3909b0934dd542e0d99e098d2551f61b8&width=980&height=528&quality=75&smart=true,,Pop|Rock,,385k,Lo Peor de Todo,22M,https://open.spotify.com/intl-es/track/7cnUsQVdrZFNdtIBKZBMb5?si=bd69239b4a394053,
Amén,"La banda inició en 1995 con el vocalista y guitarrista Marcello Motta, el bajista Steve Suarez y el baterista Renán Díaz. Antes de su primer concierto, el cantante soñó con el público coreando la palabra Amén, dándole el nombre a la agrupación. Esta presentación se dio en Ventanilla (Lima), tocando cuatro temas propios, estos eran “Decir Adios”, “Échale la Culpa al Rock and Roll”, “El Whisky” y “Love and Shit”.",https://entrelineascultura.pe/2021/12/22/una-de-las-clasicas-bandas-de-rock-peruano/,https://entrelineascultura.pe/wp-content/uploads/2021/12/Amen.jpg,,Rock,,346k,La Chata,16M,https://open.spotify.com/intl-es/track/3jzpdDnLaQcsuGCw4JwVYS?si=e12149fa4fcc4545,
Los Mojarras,"En Junio de 1992 la banda entra en la escena rockera del Perú, con su disco debut titulado ""Sarita Colonia"" donde la banda fusionó la música popular como la chicha con el rock, acorde con las nuevas tendencias continentales. La temática sobre los problemas de la juventud, en sintonía con un acompañamiento musical particular unían masas disímiles, hasta entonces contradictorias. Debido al éxito obtenido por su primer disco, son convocados para musicalizar la película del cineasta Augusto Tamayo: “ANDA CORRE Y VUELA”.",https://www.last.fm/es/music/Los+Mojarras/+wiki,https://i1.sndcdn.com/artworks-000025327306-g0386z-t500x500.jpg,,Rock|Andino,,174k,Triciclo Perú,12M,https://open.spotify.com/intl-es/track/1Ahb1lGCvsRSlmThubFzsy?si=38fff97ac43a415c,
Los Saicos,"A principios de los años sesenta, tres amigos dieron sus primeros pasos musicales en su natal distrito limeño de Lince.Mejores ofertas de auriculares. La formaron César Castrijón, en voz y bajo, Erwin Flores en voz y guitarra, ‘Pancho’ Guevara en la batería y un tiempo después se sumó Rolando Carpio en la guitarra.",https://lashistoriasdelrock.com/los-saicos-la-primera-cepa-del-punk-rock/,https://f4.bcbits.com/img/a0215471275_16.jpg,,Rock,,61k,Demolición,6M,https://open.spotify.com/intl-es/track/3qCzGmAP91tisTIS72io8v?si=1055db3b671240dc,
Tourista,"Tourista, la banda peruana que se ha posicionado como un referente en la escena musical independiente de América Latina, se formó en Lima en el año 2010. El grupo, cuya propuesta estilística combina el rock alternativo con elementos de la música electrónica y el indie pop, nació de la visión y el talento de tres jóvenes músicos peruanos: Genko (voz y guitarra), Rafael Otero (bajo) y Polo Cabrera (teclados y sintetizadores).",https://www.musica.com/tourista/biografia,https://portal.andina.pe/EDPfotografia3/Thumbnail/2019/03/12/000570347W.jpg,,Pop|Rock,,55k,Explotar Contigo,9M,https://open.spotify.com/intl-es/track/4ZCRkqTO36YSyMEjQukC9s?si=6fb42b10b0614311,
